date,price,momentum,signal,rolling_mean,rolling_std,z_score,rolling_high,rolling_low,return,position,Gross_return,Turnover,Trading_Cost,Net_return,portfolio
2026-02-04,418.2,-0.003336510962821837,-1,438.95500000000004,10.56529696695746,-1.9644502246278999,458.3,419.6,-0.013330187566356066,0.0,-0.0,0.0,0.0,-0.0,100000.0
2026-02-05,412.75,-0.03585610838589115,-1,438.1875,11.872068890334258,-2.1426341301565515,458.3,418.2,-0.01303204208512676,-1.0,0.01303204208512676,1.0,0.001,0.01203204208512676,101203.20420851267
2026-02-06,416.9,-0.03662622761409595,0,437.395,12.750654265978929,-1.6073684983118397,458.3,412.75,0.010054512416717065,-1.0,-0.010054512416717065,0.0,0.0,-0.010054512416717065,100185.65533518665
2026-02-09,421.5,-0.02022315202231517,0,436.96000000000004,13.151151640585873,-1.1755624467357526,458.3,412.75,0.011033821060206339,0.0,0.0,1.0,0.001,-0.001,100085.46967985146
2026-02-10,427.3,-0.024206439826444326,0,436.42999999999995,13.32373623907428,-0.6852432257871146,458.3,412.75,0.01376037959667853,0.0,0.0,0.0,0.0,0.0,100085.46967985146
2026-02-11,433.65,-0.017223796033994376,0,436.05,13.287360436460705,-0.1806227814377941,458.3,412.75,0.014860753568921137,0.0,0.0,0.0,0.0,0.0,100085.46967985146
2026-02-12,439.2,0.006416131989001039,0,436.18999999999994,13.305980056469274,0.22621407722136236,458.3,412.75,0.012798339674852999,0.0,0.0,0.0,0.0,0.0,100085.46967985146
2026-02-13,446.1,0.0029226618705036067,0,436.255,13.353344741654572,0.7372684664756257,458.3,412.75,0.015710382513661303,0.0,0.0,0.0,0.0,0.0,100085.46967985146
2026-02-16,451.75,0.005788712011577379,0,436.38500000000005,13.497369139362334,1.1383699920594934,458.3,412.75,0.012665321676754049,0.0,0.0,0.0,0.0,0.0,100085.46967985146
2026-02-17,448.4,0.006057886470720142,0,436.52,13.60848612950178,0.8729846866835095,458.3,412.75,-0.007415605976757056,0.0,-0.0,0.0,0.0,-0.0,100085.46967985146
2026-02-18,455.9,0.007291206363234437,0,436.68499999999995,13.831886311973815,1.3891814584512765,458.3,412.75,0.016726137377341743,0.0,0.0,0.0,0.0,0.0,100085.46967985146
2026-02-19,462.35,0.008837006327732988,1,436.8875,14.189997171840533,1.7943978206372952,458.3,412.75,0.01414783943847353,0.0,0.0,0.0,0.0,0.0,100085.46967985146
2026-02-20,468.8,0.03237172428980406,1,437.62250000000006,15.452980252501808,2.017571982268752,462.35,412.75,0.013950470422839922,1.0,0.013950470422839922,1.0,0.001,0.012950470422839921,101381.6235946964
2026-02-23,464.25,0.03661940381824258,0,438.4425,16.428587687961887,1.5708897496350556,468.8,412.75,-0.00970563139931746,1.0,-0.00970563139931746,0.0,0.0,-0.00970563139931746,100397.65092542193
2026-02-24,471.6,0.06624463034139727,1,439.90749999999997,18.01999821105197,1.758740463168443,468.8,412.75,0.01583198707592892,0.0,0.0,1.0,0.001,-0.001,100297.2532744965
2026-02-25,477.15,0.08752136752136752,1,441.82750000000004,19.843628667262728,1.780042379964188,471.6,412.75,0.011768447837150031,1.0,0.011768447837150031,1.0,0.001,0.01076844783715003,101377.29901459235
2026-02-26,473.4,0.0960870571891641,0,443.90250000000003,20.892931787669518,1.4118411097004886,477.15,412.75,-0.007859163784973311,1.0,-0.007859163784973311,0.0,0.0,-0.007859163784973311,100580.55821755847
2026-02-27,480.9,0.10399449035812669,1,446.1675,22.35015174209647,1.5540162948684306,477.15,412.75,0.01584283903675532,0.0,0.0,1.0,0.001,-0.001,100479.97765934092
2026-03-02,486.55,0.13309268747088976,1,449.025,23.70581485405508,1.5829449538445655,480.9,412.75,0.011748804325223627,1.0,0.011748804325223627,1.0,0.001,0.010748804325223626,101560.01727780401
2026-03-03,482.1,0.13743069482128112,0,451.9375,24.026158304954606,1.255402533237284,486.55,412.75,-0.009146028157434927,1.0,-0.009146028157434927,0.0,0.0,-0.009146028157434927,100631.14650011164
2026-03-04,475.8,0.1377331420373027,0,454.8175,23.207509418743232,0.9041254544554351,486.55,412.75,-0.013067828251400182,0.0,-0.0,1.0,0.001,-0.001,100530.51535361152
2026-03-05,469.35,0.1371290127195639,0,457.6474999999999,21.16914633562136,0.5528092543017799,486.55,412.75,-0.013556116015132402,0.0,-0.0,0.0,0.0,-0.0,100530.51535361152
2026-03-06,472.9,0.13432477812425048,0,460.44750000000005,19.098088048421697,0.6520286202696101,486.55,416.9,0.0075636518589536905,0.0,0.0,0.0,0.0,0.0,100530.51535361152
2026-03-09,466.4,0.10652431791221817,0,462.6925,16.77674828131906,0.22099038132009707,486.55,421.5,-0.013744977796574354,0.0,-0.0,0.0,0.0,-0.0,100530.51535361152
2026-03-10,459.75,0.07594196115141583,0,464.31500000000005,14.60192038559908,-0.3126301116188947,486.55,427.3,-0.014258147512864472,0.0,-0.0,0.0,0.0,-0.0,100530.51535361152
2026-03-11,453.2,0.045082439755563364,0,465.2924999999999,13.008491912674236,-0.9295850803595561,486.55,433.65,-0.014246873300706953,0.0,-0.0,0.0,0.0,-0.0,100530.51535361152
2026-03-12,457.85,0.04246357012750468,0,466.225,11.63564735945921,-0.7197708680292323,486.55,439.2,0.010260370697263932,0.0,0.0,0.0,0.0,0.0,100530.51535361152
2026-03-13,463.5,0.03900470746469398,0,467.09499999999997,10.661414688393881,-0.3371972768223266,486.55,446.1,0.012340286119908228,0.0,0.0,0.0,0.0,0.0,100530.51535361152
2026-03-16,470.25,0.04095185390149414,0,468.02,10.044694855337736,0.2220077396193872,486.55,448.4,0.014563106796116498,0.0,0.0,0.0,0.0,0.0,100530.51535361152
2026-03-17,476.8,0.06333630686886726,0,469.44000000000005,9.086826786763254,0.8099637170063857,486.55,448.4,0.013928761297182346,0.0,0.0,0.0,0.0,0.0,100530.51535361152
2026-03-18,483.4,0.06032024566790972,0,470.81500000000005,9.010448613167561,1.3967118109534118,486.55,453.2,0.013842281879194562,0.0,0.0,0.0,0.0,0.0,100530.51535361152
2026-03-19,489.95,0.05969503622796579,1,472.195,9.730525760664452,1.8246701603498545,486.55,453.2,0.013549855192387383,0.0,0.0,0.0,0.0,0.0,100530.51535361152
2026-03-20,485.3,0.035196245733788434,0,473.02,10.119241702399753,1.2135296656752312,489.95,453.2,-0.009490764363710547,1.0,-0.009490764363710547,1.0,0.001,-0.010490764363710547,99475.8734056744
2026-03-23,492.7,0.06128163704900369,1,474.44249999999994,10.79839504400183,1.6907605181699217,489.95,453.2,0.015248300020605843,0.0,0.0,1.0,0.001,-0.001,99376.39753226872
2026-03-24,498.15,0.05629770992366412,1,475.7700000000001,11.996100243522445,1.865606284182599,492.7,453.2,0.011061497868885661,1.0,0.011061497868885661,1.0,0.001,0.01006149786888566,100376.27294425717
2026-03-25,494.6,0.0365713088127424,0,476.6424999999999,12.714809796371418,1.4123294243162685,498.15,453.2,-0.007126367559971758,1.0,-0.007126367559971758,0.0,0.0,-0.007126367559971758,99660.95472895635
2026-03-26,501.8,0.059991550485847034,1,478.0625,13.867264320580688,1.711765165157392,498.15,453.2,0.01455721795390219,0.0,0.0,1.0,0.001,-0.001,99561.2937742274
2026-03-27,507.25,0.05479309627781248,1,479.38,15.326039073557745,1.818473766524878,501.8,453.2,0.01086090075727375,1.0,0.01086090075727375,1.0,0.001,0.00986090075727375,100543.05781140085
